"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"296","Syphilis","TBATS","2019",2019-08-01,697.46727989502,442.183918595329,523.992105172452,895.705404194741,1010.67035195133
"297","Syphilis","TBATS","2019",2019-09-01,618.243344932011,369.62508600164,448.484177293479,815.191256976815,930.455167583078
"298","Syphilis","TBATS","2019",2019-10-01,603.531477946769,349.026964225095,429.282562874673,807.390637299698,927.29336259816
"299","Syphilis","TBATS","2019",2019-11-01,544.281294550964,296.418948124836,373.755265714254,746.760714551153,866.881554088604
"300","Syphilis","TBATS","2019",2019-12-01,475.623137651227,239.270500305465,311.981970766506,673.639195573987,792.377495317521
"301","Syphilis","TBATS","2018-2019",2018-01-01,487.483384369672,372.074484388101,410.260080339125,571.361719911292,618.458180449227
"302","Syphilis","TBATS","2018-2019",2018-02-01,511.898353549124,374.190931345932,419.419692832134,613.582772942782,671.137737370484
"303","Syphilis","TBATS","2018-2019",2018-03-01,508.935279922816,351.92310786533,403.002431150606,627.215333640894,694.827151342824
"304","Syphilis","TBATS","2018-2019",2018-04-01,442.236323409988,282.566531325792,333.803933603934,565.894130174312,637.517856479419
"305","Syphilis","TBATS","2018-2019",2018-05-01,435.739660359337,264.697998975054,319.102404662283,570.50844064508,649.190351269023
"306","Syphilis","TBATS","2018-2019",2018-06-01,503.362523631172,305.511056754683,368.433461665414,659.301322198022,750.355061655779
"307","Syphilis","TBATS","2018-2019",2018-07-01,471.294113330182,269.863554058341,333.271887136101,633.170681265556,728.519180022904
"308","Syphilis","TBATS","2018-2019",2018-08-01,522.427766244715,298.09133283305,368.66637728757,702.921708955556,809.290748699975
"309","Syphilis","TBATS","2018-2019",2018-09-01,474.200563729452,252.786387799698,321.608821213554,656.324859203081,764.690393182914
"310","Syphilis","TBATS","2018-2019",2018-10-01,457.273886077061,231.872286102563,301.313090416576,645.645446707678,758.48318119798
"311","Syphilis","TBATS","2018-2019",2018-11-01,395.188173031095,181.381728596904,246.083904211026,579.442842831632,691.210229600867
"312","Syphilis","TBATS","2018-2019",2018-12-01,343.98466818659,141.08578370079,201.250652763142,524.747296602909,635.831206430686
"313","Syphilis","TBATS","2018-2019",2019-01-01,487.483384369672,230.81894022467,308.926911529314,706.588635927932,838.990065605936
"314","Syphilis","TBATS","2018-2019",2019-02-01,511.898353549124,241.043717797184,323.3882764398,743.507936541945,883.561291912509
"315","Syphilis","TBATS","2018-2019",2019-03-01,508.935279922816,231.216902670539,315.105752875262,749.005759123067,894.809697530892
"316","Syphilis","TBATS","2018-2019",2019-04-01,442.236323409987,180.908712655232,258.362325811406,675.229485173668,818.452016143256
"317","Syphilis","TBATS","2018-2019",2019-05-01,435.739660359337,170.934861303167,248.822851312148,674.681741202045,822.229829934188
"318","Syphilis","TBATS","2018-2019",2019-06-01,503.362523631172,208.014523037463,295.712771853367,765.915759216898,927.127936366276
"319","Syphilis","TBATS","2018-2019",2019-07-01,471.294113330182,182.015592349841,266.860059456511,733.476256151976,895.643482724681
"320","Syphilis","TBATS","2018-2019",2019-08-01,522.427766244715,208.409045283223,301.055148408665,804.42668504129,978.249377243079
"321","Syphilis","TBATS","2018-2019",2019-09-01,474.200563729452,173.280308193164,260.651457060687,751.175970562777,923.472813782725
"322","Syphilis","TBATS","2018-2019",2019-10-01,457.273886077061,158.210328314275,244.176992125981,736.675292205103,911.421479979546
