Areas,Age,Cases,Year,Disease
Zone:1,2-2,0,2011,Mushroom poisoning
Nonthaburi,2-2,0,2011,Mushroom poisoning
P.Nakhon S.Ayutthaya,2-2,0,2011,Mushroom poisoning
Pathum Thani,2-2,0,2011,Mushroom poisoning
Saraburi,2-2,0,2011,Mushroom poisoning
Zone:2,2-2,0,2011,Mushroom poisoning
Ang Thong,2-2,0,2011,Mushroom poisoning
Chai Nat,2-2,0,2011,Mushroom poisoning
Lop Buri,2-2,0,2011,Mushroom poisoning
Sing Buri,2-2,0,2011,Mushroom poisoning
Zone:3,2-2,1,2011,Mushroom poisoning
Chachoengsao,2-2,1,2011,Mushroom poisoning
Nakhon Nayok,2-2,0,2011,Mushroom poisoning
Prachin Buri,2-2,0,2011,Mushroom poisoning
Sa Kaeo,2-2,0,2011,Mushroom poisoning
Samut Prakan,2-2,0,2011,Mushroom poisoning
Zone:4,2-2,1,2011,Mushroom poisoning
Kanchanaburi,2-2,1,2011,Mushroom poisoning
Nakhon Pathom,2-2,0,2011,Mushroom poisoning
Ratchaburi,2-2,0,2011,Mushroom poisoning
Suphan Buri,2-2,0,2011,Mushroom poisoning
Zone:5,2-2,1,2011,Mushroom poisoning
Phetchaburi,2-2,0,2011,Mushroom poisoning
Prachuap Khiri Khan,2-2,1,2011,Mushroom poisoning
Samut Sakhon,2-2,0,2011,Mushroom poisoning
Samut Songkhram,2-2,0,2011,Mushroom poisoning
Zone:9,2-2,2,2011,Mushroom poisoning
Chanthaburi,2-2,0,2011,Mushroom poisoning
Chon Buri,2-2,2,2011,Mushroom poisoning
Rayong,2-2,0,2011,Mushroom poisoning
Trat,2-2,0,2011,Mushroom poisoning
South Region,2-2,1,2011,Mushroom poisoning
Zone:6,2-2,0,2011,Mushroom poisoning
Chumphon,2-2,0,2011,Mushroom poisoning
Nakhon Si Thammarat,2-2,0,2011,Mushroom poisoning
Phatthalung,2-2,0,2011,Mushroom poisoning
Surat Thani,2-2,0,2011,Mushroom poisoning
Zone:7,2-2,0,2011,Mushroom poisoning
Krabi,2-2,0,2011,Mushroom poisoning
Phangnga,2-2,0,2011,Mushroom poisoning
Phuket,2-2,0,2011,Mushroom poisoning
Ranong,2-2,0,2011,Mushroom poisoning
Trang,2-2,0,2011,Mushroom poisoning
Zone:8,2-2,1,2011,Mushroom poisoning
Narathiwat,2-2,0,2011,Mushroom poisoning
Pattani,2-2,0,2011,Mushroom poisoning
Satun,2-2,0,2011,Mushroom poisoning
Songkhla,2-2,1,2011,Mushroom poisoning
Yala,2-2,0,2011,Mushroom poisoning
North-Eastern Region,2-2,10,2011,Mushroom poisoning
Zone:10,2-2,3,2011,Mushroom poisoning
Bungkan,2-2,0,2011,Mushroom poisoning
Loei,2-2,1,2011,Mushroom poisoning
Nong Bua Lam Phu,2-2,0,2011,Mushroom poisoning
Nong Khai,2-2,0,2011,Mushroom poisoning
Udon Thani,2-2,2,2011,Mushroom poisoning
Zone:11,2-2,3,2011,Mushroom poisoning
Mukdahan,2-2,0,2011,Mushroom poisoning
Nakhon Phanom,2-2,2,2011,Mushroom poisoning
