Areas,Age,Cases,Year,Disease
Zone: 19,1-1,0,2007,HepatitisB
Satun,1-1,0,2007,HepatitisB
Songkhla,1-1,0,2007,HepatitisB
Total,2-2,0,2007,HepatitisB
North Region,2-2,0,2007,HepatitisB
Zone: 1,2-2,0,2007,HepatitisB
Chiang Mai,2-2,0,2007,HepatitisB
Chiang Rai,2-2,0,2007,HepatitisB
Lampang,2-2,0,2007,HepatitisB
Lamphun,2-2,0,2007,HepatitisB
Mae Hong Son,2-2,0,2007,HepatitisB
Nan,2-2,0,2007,HepatitisB
Phayao,2-2,0,2007,HepatitisB
Phrae,2-2,0,2007,HepatitisB
Zone: 2,2-2,0,2007,HepatitisB
Phetchabun,2-2,0,2007,HepatitisB
Phitsanulok,2-2,0,2007,HepatitisB
Sukhothai,2-2,0,2007,HepatitisB
Tak,2-2,0,2007,HepatitisB
Uttaradit,2-2,0,2007,HepatitisB
Zone: 3,2-2,0,2007,HepatitisB
Kamphaeng Phet,2-2,0,2007,HepatitisB
Nakhon Sawan,2-2,0,2007,HepatitisB
Phichit,2-2,0,2007,HepatitisB
Uthai Thani,2-2,0,2007,HepatitisB
Central Region,2-2,0,2007,HepatitisB
Bangkok,2-2,0,2007,HepatitisB
Zone: 4,2-2,0,2007,HepatitisB
Ang Thong,2-2,0,2007,HepatitisB
Nonthaburi,2-2,0,2007,HepatitisB
P.Nakhon S.Ayutthaya,2-2,0,2007,HepatitisB
Pathum Thani,2-2,0,2007,HepatitisB
Zone: 5,2-2,0,2007,HepatitisB
Chai Nat,2-2,0,2007,HepatitisB
Lop Buri,2-2,0,2007,HepatitisB
Saraburi,2-2,0,2007,HepatitisB
Sing Buri,2-2,0,2007,HepatitisB
Zone: 6,2-2,0,2007,HepatitisB
Kanchanaburi,2-2,0,2007,HepatitisB
Nakhon Pathom,2-2,0,2007,HepatitisB
Ratchaburi,2-2,0,2007,HepatitisB
Suphan Buri,2-2,0,2007,HepatitisB
Zone: 7,2-2,0,2007,HepatitisB
Phetchaburi,2-2,0,2007,HepatitisB
Prachuap Khiri Khan,2-2,0,2007,HepatitisB
Samut Sakhon,2-2,0,2007,HepatitisB
Samut Songkhram,2-2,0,2007,HepatitisB
Zone: 8,2-2,0,2007,HepatitisB
Chachoengsao,2-2,0,2007,HepatitisB
Nakhon Nayok,2-2,0,2007,HepatitisB
Prachin Buri,2-2,0,2007,HepatitisB
Sa Kaeo,2-2,0,2007,HepatitisB
Samut Prakan,2-2,0,2007,HepatitisB
Zone: 9,2-2,0,2007,HepatitisB
Chanthaburi,2-2,0,2007,HepatitisB
Chon Buri,2-2,0,2007,HepatitisB
Rayong,2-2,0,2007,HepatitisB
Trat,2-2,0,2007,HepatitisB
North-Eastern Region,2-2,0,2007,HepatitisB
Zone: 10,2-2,0,2007,HepatitisB
Loei,2-2,0,2007,HepatitisB
Nong Bua Lam Phu,2-2,0,2007,HepatitisB
Nong Khai,2-2,0,2007,HepatitisB
Udon Thani,2-2,0,2007,HepatitisB
Zone: 11,2-2,0,2007,HepatitisB
Kalasin,2-2,0,2007,HepatitisB
Mukdahan,2-2,0,2007,HepatitisB
Nakhon Phanom,2-2,0,2007,HepatitisB
Sakon Nakhon,2-2,0,2007,HepatitisB
Zone: 12,2-2,0,2007,HepatitisB
Khon Kaen,2-2,0,2007,HepatitisB
Maha Sarakham,2-2,0,2007,HepatitisB
Roi Et,2-2,0,2007,HepatitisB
Zone: 13,2-2,0,2007,HepatitisB
Buri Ram,2-2,0,2007,HepatitisB
Chaiyaphum,2-2,0,2007,HepatitisB
Nakhon Ratchasima,2-2,0,2007,HepatitisB
Surin,2-2,0,2007,HepatitisB
Zone: 14,2-2,0,2007,HepatitisB
Amnat Charoen,2-2,0,2007,HepatitisB
Si Sa Ket,2-2,0,2007,HepatitisB
Ubon Ratchathani,2-2,0,2007,HepatitisB
Yasothon,2-2,0,2007,HepatitisB
South Region,2-2,0,2007,HepatitisB
Zone: 15,2-2,0,2007,HepatitisB
Chumphon,2-2,0,2007,HepatitisB
Ranong,2-2,0,2007,HepatitisB
Surat Thani,2-2,0,2007,HepatitisB
Zone: 16,2-2,0,2007,HepatitisB
Nakhon Si Thammarat,2-2,0,2007,HepatitisB
Phatthalung,2-2,0,2007,HepatitisB
Trang,2-2,0,2007,HepatitisB
Zone: 17,2-2,0,2007,HepatitisB
Krabi,2-2,0,2007,HepatitisB
Phangnga,2-2,0,2007,HepatitisB
Phuket,2-2,0,2007,HepatitisB
Zone: 18,2-2,0,2007,HepatitisB
Narathiwat,2-2,0,2007,HepatitisB
Pattani,2-2,0,2007,HepatitisB
Yala,2-2,0,2007,HepatitisB
Zone: 19,2-2,0,2007,HepatitisB
Satun,2-2,0,2007,HepatitisB
