Areas,Age,Cases,Year,Disease
Trat,0,0,2018,Cholera
ZONE:07,0,0,2018,Cholera
Kalasin,0,0,2018,Cholera
Khon Kaen,0,0,2018,Cholera
Maha Sarakham,0,0,2018,Cholera
Roi Et,0,0,2018,Cholera
ZONE:08,0,0,2018,Cholera
Bungkan,0,0,2018,Cholera
Loei,0,0,2018,Cholera
Nakhon Phanom,0,0,2018,Cholera
Nong Bua Lam Phu,0,0,2018,Cholera
Nong Khai,0,0,2018,Cholera
Sakon Nakhon,0,0,2018,Cholera
Udon Thani,0,0,2018,Cholera
ZONE:09,0,0,2018,Cholera
Buri Ram,0,0,2018,Cholera
Chaiyaphum,0,0,2018,Cholera
Nakhon Ratchasima,0,0,2018,Cholera
Surin,0,0,2018,Cholera
ZONE:10,0,0,2018,Cholera
Amnat Charoen,0,0,2018,Cholera
Mukdahan,0,0,2018,Cholera
Si Sa Ket,0,0,2018,Cholera
Ubon Ratchathani,0,0,2018,Cholera
Yasothon,0,0,2018,Cholera
ZONE:11,0,0,2018,Cholera
Chumphon,0,0,2018,Cholera
Krabi,0,0,2018,Cholera
Nakhon Si Thammarat,0,0,2018,Cholera
Phangnga,0,0,2018,Cholera
Phuket,0,0,2018,Cholera
Ranong,0,0,2018,Cholera
Surat Thani,0,0,2018,Cholera
ZONE:12,0,0,2018,Cholera
Narathiwat,0,0,2018,Cholera
Pattani,0,0,2018,Cholera
Phatthalung,0,0,2018,Cholera
Satun,0,0,2018,Cholera
Songkhla,0,0,2018,Cholera
Trang,0,0,2018,Cholera
Yala,0,0,2018,Cholera
ZONE:13,0,0,2018,Cholera
Bangkok,0,0,2018,Cholera
Total,<1,0,2018,Cholera
ZONE:01,<1,0,2018,Cholera
Chiang Mai,<1,0,2018,Cholera
Chiang Rai,<1,0,2018,Cholera
Lampang,<1,0,2018,Cholera
Lamphun,<1,0,2018,Cholera
Mae Hong Son,<1,0,2018,Cholera
Nan,<1,0,2018,Cholera
Phayao,<1,0,2018,Cholera
Phrae,<1,0,2018,Cholera
ZONE:02,<1,0,2018,Cholera
Phetchabun,<1,0,2018,Cholera
Phitsanulok,<1,0,2018,Cholera
Sukhothai,<1,0,2018,Cholera
Tak,<1,0,2018,Cholera
Uttaradit,<1,0,2018,Cholera
ZONE:03,<1,0,2018,Cholera
Chai Nat,<1,0,2018,Cholera
Kamphaeng Phet,<1,0,2018,Cholera
Nakhon Sawan,<1,0,2018,Cholera
Phichit,<1,0,2018,Cholera
Uthai Thani,<1,0,2018,Cholera
ZONE:04,<1,0,2018,Cholera
Ang Thong,<1,0,2018,Cholera
Lop Buri,<1,0,2018,Cholera
Nakhon Nayok,<1,0,2018,Cholera
Nonthaburi,<1,0,2018,Cholera
P.Nakhon S.Ayutthaya,<1,0,2018,Cholera
Pathum Thani,<1,0,2018,Cholera
Saraburi,<1,0,2018,Cholera
Sing Buri,<1,0,2018,Cholera
ZONE:05,<1,0,2018,Cholera
Kanchanaburi,<1,0,2018,Cholera
Nakhon Pathom,<1,0,2018,Cholera
Phetchaburi,<1,0,2018,Cholera
Prachuap Khiri Khan,<1,0,2018,Cholera
Ratchaburi,<1,0,2018,Cholera
Samut Sakhon,<1,0,2018,Cholera
Samut Songkhram,<1,0,2018,Cholera
Suphan Buri,<1,0,2018,Cholera
ZONE:06,<1,0,2018,Cholera
Chachoengsao,<1,0,2018,Cholera
Chanthaburi,<1,0,2018,Cholera
Chon Buri,<1,0,2018,Cholera
Prachin Buri,<1,0,2018,Cholera
Rayong,<1,0,2018,Cholera
Sa Kaeo,<1,0,2018,Cholera
Samut Prakan,<1,0,2018,Cholera
Trat,<1,0,2018,Cholera
ZONE:07,<1,0,2018,Cholera
Kalasin,<1,0,2018,Cholera
Khon Kaen,<1,0,2018,Cholera
Maha Sarakham,<1,0,2018,Cholera
Roi Et,<1,0,2018,Cholera
ZONE:08,<1,0,2018,Cholera
Bungkan,<1,0,2018,Cholera
Loei,<1,0,2018,Cholera
Nakhon Phanom,<1,0,2018,Cholera
Nong Bua Lam Phu,<1,0,2018,Cholera
Nong Khai,<1,0,2018,Cholera
Sakon Nakhon,<1,0,2018,Cholera
Udon Thani,<1,0,2018,Cholera
