disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
DHF Total,trace_DHF_Total_50.rtf,http://doe1.moph.go.th/surdata/y50/trace_DHF_Total_50.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_50.rtf,yes,84203,skip,
DHF Total,trace_DHF_Total_51.rtf,http://doe1.moph.go.th/surdata/y51/trace_DHF_Total_51.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_51.rtf,yes,83433,skip,
DHF Total,trace_DHF_Total_52.rtf,http://doe1.moph.go.th/surdata/y52/trace_DHF_Total_52.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_52.rtf,yes,83374,skip,
DHF Total,trace_DHF_Total_53.rtf,http://doe1.moph.go.th/surdata/y53/trace_DHF_Total_53.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_53.rtf,yes,84291,skip,
DHF Total,trace_DHF_Total_54.rtf,http://doe1.moph.go.th/surdata/y54/trace_DHF_Total_54.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_54.rtf,yes,84962,skip,
DHF Total,trace_DHF_Total_55.rtf,http://doe1.moph.go.th/surdata/y55/trace_DHF_Total_55.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_55.rtf,yes,85003,skip,
DHF Total,trace_DHF_Total_56.rtf,http://doe1.moph.go.th/surdata/y56/trace_DHF_Total_56.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_56.rtf,yes,85149,skip,
DHF Total,trace_DHF_Total_57.rtf,http://doe1.moph.go.th/surdata/y57/trace_DHF_Total_57.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_57.rtf,yes,76749,skip,
DHF Total,trace_DHF_Total_58.rtf,http://doe1.moph.go.th/surdata/y58/trace_DHF_Total_58.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_58.rtf,yes,76941,skip,
DHF Total,trace_DHF_Total_59.rtf,http://doe1.moph.go.th/surdata/y59/trace_DHF_Total_59.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_59.rtf,yes,76791,skip,
DHF Total,trace_DHF_Total_60.rtf,http://doe1.moph.go.th/surdata/y60/trace_DHF_Total_60.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_60.rtf,yes,76807,skip,
DHF Total,trace_DHF_Total_61.rtf,http://doe1.moph.go.th/surdata/y61/trace_DHF_Total_61.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_61.rtf,yes,76867,skip,
DHF Total,trace_DHF_Total_62.rtf,http://doe1.moph.go.th/surdata/y62/trace_DHF_Total_62.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_62.rtf,yes,76928,skip,
DHF Total,trace_DHF_Total_63.rtf,http://doe1.moph.go.th/surdata/y63/trace_DHF_Total_63.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_63.rtf,yes,76801,skip,
DHF Total,trace_DHF_Total_64.rtf,http://doe1.moph.go.th/surdata/y64/trace_DHF_Total_64.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_64.rtf,yes,76608,skip,
DHF Total,trace_DHF_Total_65.rtf,http://doe1.moph.go.th/surdata/y65/trace_DHF_Total_65.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_65.rtf,yes,76777,skip,
DHF Total,trace_DHF_Total_66.rtf,http://doe1.moph.go.th/surdata/y66/trace_DHF_Total_66.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_66.rtf,yes,77012,skip,
DHF Total,trace_DHF_Total_67.rtf,http://doe1.moph.go.th/surdata/y67/trace_DHF_Total_67.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_67.rtf,yes,76928,skip,
DHF Total,tc_occ_DHF_Total_49.rtf,http://doe1.moph.go.th/surdata/y49/tc_occ_DHF_Total_49.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_49.rtf,yes,79678,skip,
DHF Total,tc_occ_DHF_Total_50.rtf,http://doe1.moph.go.th/surdata/y50/tc_occ_DHF_Total_50.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_50.rtf,yes,79691,skip,
DHF Total,tc_occ_DHF_Total_51.rtf,http://doe1.moph.go.th/surdata/y51/tc_occ_DHF_Total_51.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_51.rtf,yes,79004,skip,
DHF Total,tc_occ_DHF_Total_52.rtf,http://doe1.moph.go.th/surdata/y52/tc_occ_DHF_Total_52.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_52.rtf,yes,78998,skip,
DHF Total,tc_occ_DHF_Total_53.rtf,http://doe1.moph.go.th/surdata/y53/tc_occ_DHF_Total_53.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_53.rtf,yes,79228,skip,
DHF Total,tc_occ_DHF_Total_54.rtf,http://doe1.moph.go.th/surdata/y54/tc_occ_DHF_Total_54.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_54.rtf,yes,79718,skip,
DHF Total,tc_occ_DHF_Total_55.rtf,http://doe1.moph.go.th/surdata/y55/tc_occ_DHF_Total_55.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_55.rtf,yes,79853,skip,
DHF Total,tc_occ_DHF_Total_56.rtf,http://doe1.moph.go.th/surdata/y56/tc_occ_DHF_Total_56.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_56.rtf,yes,80160,skip,
DHF Total,tc_occ_DHF_Total_57.rtf,http://doe1.moph.go.th/surdata/y57/tc_occ_DHF_Total_57.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_57.rtf,yes,75778,skip,
DHF Total,tc_occ_DHF_Total_58.rtf,http://doe1.moph.go.th/surdata/y58/tc_occ_DHF_Total_58.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_58.rtf,yes,72440,skip,
DHF Total,tc_occ_DHF_Total_59.rtf,http://doe1.moph.go.th/surdata/y59/tc_occ_DHF_Total_59.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_59.rtf,yes,72918,skip,
DHF Total,tc_occ_DHF_Total_60.rtf,http://doe1.moph.go.th/surdata/y60/tc_occ_DHF_Total_60.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_60.rtf,yes,72851,skip,
DHF Total,tc_occ_DHF_Total_61.rtf,http://doe1.moph.go.th/surdata/y61/tc_occ_DHF_Total_61.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_61.rtf,yes,73022,skip,
DHF Total,tc_occ_DHF_Total_62.rtf,http://doe1.moph.go.th/surdata/y62/tc_occ_DHF_Total_62.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_62.rtf,yes,73172,skip,
DHF Total,tc_occ_DHF_Total_63.rtf,http://doe1.moph.go.th/surdata/y63/tc_occ_DHF_Total_63.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_63.rtf,yes,72974,skip,
DHF Total,tc_occ_DHF_Total_64.rtf,http://doe1.moph.go.th/surdata/y64/tc_occ_DHF_Total_64.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_64.rtf,yes,72405,skip,
DHF Total,tc_occ_DHF_Total_65.rtf,http://doe1.moph.go.th/surdata/y65/tc_occ_DHF_Total_65.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_65.rtf,yes,72816,skip,
DHF Total,tc_occ_DHF_Total_66.rtf,http://doe1.moph.go.th/surdata/y66/tc_occ_DHF_Total_66.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_66.rtf,yes,73409,skip,
DHF Total,tc_occ_DHF_Total_67.rtf,http://doe1.moph.go.th/surdata/y67/tc_occ_DHF_Total_67.rtf,,Code/Data/GetData/DHF Total/tc_occ_DHF_Total_67.rtf,yes,73153,skip,
DHF Total,td_occ_DHF_Total_49.rtf,http://doe1.moph.go.th/surdata/y49/td_occ_DHF_Total_49.rtf,,Code/Data/GetData/DHF Total/td_occ_DHF_Total_49.rtf,yes,78773,skip,
DHF Total,td_occ_DHF_Total_50.rtf,http://doe1.moph.go.th/surdata/y50/td_occ_DHF_Total_50.rtf,,Code/Data/GetData/DHF Total/td_occ_DHF_Total_50.rtf,yes,78656,skip,
DHF Total,td_occ_DHF_Total_51.rtf,http://doe1.moph.go.th/surdata/y51/td_occ_DHF_Total_51.rtf,,Code/Data/GetData/DHF Total/td_occ_DHF_Total_51.rtf,yes,77893,skip,
DHF Total,td_occ_DHF_Total_52.rtf,http://doe1.moph.go.th/surdata/y52/td_occ_DHF_Total_52.rtf,,Code/Data/GetData/DHF Total/td_occ_DHF_Total_52.rtf,yes,78001,skip,
DHF Total,td_occ_DHF_Total_53.rtf,http://doe1.moph.go.th/surdata/y53/td_occ_DHF_Total_53.rtf,,Code/Data/GetData/DHF Total/td_occ_DHF_Total_53.rtf,yes,78019,skip,
